City,State,Price,lon,lat
Beaverton,OR,1857.01,-122.8037102,45.487062
Richardson,TX,1846.28,-96.7298519,32.9483335
Hamilton Township,NJ,1844.08,-74.6796651,40.2115109
Clearwater,FL,1836.53,-82.8001026,27.9658533
East Windsor,NJ,1830.92,-74.5402506,40.2677539
Bend,OR,1828.76,-121.3153096,44.0581728
Omaha,NE,1815.33,-95.9979883,41.2523634
Hebron,CT,1813.75,35.099826,31.532569
Portland,ME,1807.23,-122.6764816,45.5230622
Dennis,MA,1793.62,-70.193943,41.735306
Aurora,CO,1793.39,-88.3200715,41.7605849
Bourne,MA,1792.22,-70.5989325,41.7412773
Bethlehem,NY,1790,35.2024425,31.7053821
Ithaca,NY,1788.58,-76.5018807,42.4439614
Hollywood,FL,1776.56,-118.3286614,34.0928092
Somers,CT,1775.58,-73.7360175,41.2996305
Canton,CT,1770.92,-81.378447,40.7989473
Raynham,MA,1764.75,-71.0731162,41.9487077
Town of Mansfield,CT,1760.25,-72.2292913,41.788489
Nazareth,PA,1746.83,35.303546,32.699635
Pompano Beach,FL,1733.02,-80.1247667,26.2378597
Milwaukie,OR,1726.17,-122.6392606,45.4462305
Wareham,MA,1723.96,-70.7197342,41.7614511
Chicago,IL,1703.57,-87.6297982,41.8781136
Chesapeake,VA,1702.65,-76.2874927,36.7682088
Ocean Township,NJ,1700.58,-74.029843,40.2479729
Everett,WA,1696.81,-122.2020794,47.9789848
Guilderland,NY,1693.46,-73.9116433,42.7043568
Hyde Park,NY,1692.92,-73.9015246,41.7667602
Yarmouth,MA,1692.67,-70.2286681,41.7056291
Richland Township,PA,1682.38,-75.3528779,40.4742555
Waterford,WI,1680,-72.164816,41.3542395
Tampa,FL,1677.32,-82.4571776,27.950575
Nashville,TN,1667,-86.7816016,36.1626638
Granby,CT,1666.5,-105.9394597,40.086097
Aston,PA,1651.42,-75.4257325,39.8648194
Madison,WI,1650,-89.4012302,43.0730517
Manassas,VA,1649.25,-77.4752667,38.7509488
Town of Stonington,CT,1646.29,-71.9058854,41.3358915
Dallas,TX,1644.25,-96.7969879,32.7766642
Old Saybrook,CT,1643.29,-72.3845301,41.2960159
Houston,TX,1623.09,-95.3698028,29.7604267
West Palm Beach,FL,1621.02,-80.0533746,26.7153424
Minneapolis,MN,1612.42,-93.2650108,44.977753
Crown Point,IN,1610.12,-87.3653135,41.4169806
New Orleans,LA,1606.28,-90.0715323,29.9510658
Bellingham,WA,1604.22,-122.4786854,48.7519112
Branford,CT,1592.58,-72.8141185,41.2799027
Chandler,AZ,1588.15,-111.8412502,33.3061605
North Coventry Township,PA,1575.54,-75.6789905,40.2159602
East Providence,RI,1562.38,-71.3700545,41.8137116
Deep River,CT,1561.42,-72.4849861,41.3648171
Colorado Springs,CO,1552.2,-104.8213634,38.8338816
Satellite Beach,FL,1545.42,-80.5900519,28.1761233
Merrimack,NH,1543.75,-71.4948322,42.8678693
Vancouver,WA,1533.99,-123.1207375,49.2827291
Bakersfield,CA,1528.48,-119.0187125,35.3732921
Gilbert,AZ,1522.16,-111.789027,33.3528264
Dartmouth,MA,1522.04,-72.2886934,43.7044406
Salt Lake City,UT,1521.03,-111.8910474,40.7607793
Fort Worth,TX,1518.6,-97.3307658,32.7554883
Charlottesville,VA,1515.6,-78.4766781,38.0293059
Town of East Hampton,CT,1500,-72.1848009,40.9634335
Saint Petersburg,FL,1493.61,30.3350986,59.9342802
Sacramento,CA,1491.78,-121.4943996,38.5815719
Newark,NJ,1490.07,-74.1723667,40.735657
Garland,TX,1483.36,-96.6388833,32.912624
Town of Coeymans,NY,1482,-73.7923456,42.4739705
Tacoma,WA,1481.81,-122.4442906,47.2528768
Harwinton,CT,1481.25,-73.0598438,41.7712762
Berkeley,NJ,1472.32,-122.2585399,37.8718992
Albany,NY,1465.22,-73.7562317,42.6525793
New Haven,CT,1462.81,-72.9278835,41.308274
